School name,Suggested Mascot,website,osmLink
Colebrookdale Elementary School,Bears,https://www.boyertownasd.org/Domain/12,https://www.openstreetmap.org/node/357380453
Alice Costello Elementary School,Bears,https://www.alicecostello.com/,https://www.openstreetmap.org/node/357748470
Boyertown Elementary School,Bears,https://www.boyertownasd.org/Domain/11,https://www.openstreetmap.org/way/81105485
Olde Creek Elementary School,Bears,https://www.fcps.edu/OldeCreekES/,https://www.openstreetmap.org/way/191005142
Nathan S. Davis Elementary School,Bears,https://nathansdavis.cps.edu/,https://www.openstreetmap.org/way/226617023
Broadmoor Elementary School,Bears,https://www.lpssonline.com/schools/broadmoor,https://www.openstreetmap.org/way/339830662
Viewmont Elementary School,Bears,https://viewmont.hickoryschools.net/,https://www.openstreetmap.org/way/350174855
Ben Lomond Elementary School,Bears,https://www.c-vusd.org/benlomond,https://www.openstreetmap.org/way/465544157
Glenwood Elementary School,Bears,https://glenwood-lausd-ca.schoolloop.com/,https://www.openstreetmap.org/way/682320861
Barnes Elementary School,Bears,https://www.kelso.wednet.edu/o/barnes,https://www.openstreetmap.org/way/758555857
Bayyari Elementary School,Bears,https://bayyari.sdale.org/,https://www.openstreetmap.org/way/845135207
Longfellow Elementary School,Bears,https://www.op97.org/longfellow,https://www.openstreetmap.org/way/1158584840
Bryan Elementary School,Bears,https://www.cdaschools.org/BRYAN,https://www.openstreetmap.org/way/1184710698
Sun Valley Elementary School,Bengals,https://www.peoriaunified.org/SunValley,https://www.openstreetmap.org/way/683780308
Sonal Bhuchar Elementary,Bengals,https://www.fortbendisd.com/sbe,https://www.openstreetmap.org/way/1320940392
Lyndon B. Johnson Elementary School,Bobcat,https://lbj.ecisd.us/,https://www.openstreetmap.org/way/1329740896
Barbara Webster Elementary School,Bobcats,https://barbarawebster.santapaulausd.org/,https://www.openstreetmap.org/node/358780296
Bennion Elementary School,Bobcats,https://schools.graniteschools.org/bennion/,https://www.openstreetmap.org/way/39823307
Butterfield Elementary School,Bobcats,https://www.musd20.org/bes,https://www.openstreetmap.org/way/120480200
West Jefferson Elementary School,Bobcats,https://westjeffes.jeffcopublicschools.org/,https://www.openstreetmap.org/way/149965140
Patricia A. Bendorf Elementary School,Bobcats,https://bendorfelementary.org,https://www.openstreetmap.org/way/179893387
Union Elementary School,BOBCATS,https://www.union.k12.or.us/,https://www.openstreetmap.org/way/236497343
Brouillet Elementary School,Bobcats,https://bro.puyallupsd.org/,https://www.openstreetmap.org/way/264164829
Manor Elementary School,Bobcats,https://www.monroe.k12.mi.us/MES/,https://www.openstreetmap.org/way/320533299
Buck Lake Elementary,Bobcats,https://www.leonschools.net/bucklake,https://www.openstreetmap.org/way/427061665
Barbara Bush Elementary School,Bobcats,https://www.mpsaz.org/bush,https://www.openstreetmap.org/way/429544279
Basha Elementary School,Bobcats,https://www.cusd80.com/basha,https://www.openstreetmap.org/way/544459212
Buchanan Street Elementary School,Bobcats,https://buchananstes-lausd-ca.schoolloop.com/,https://www.openstreetmap.org/way/919773540
Birney Elementary School,Bobcats,https://birney.rbusd.org/,https://www.openstreetmap.org/way/1067694232
Churchill Road Elementary School,Bobcats,https://churchillroades.fcps.edu/,https://www.openstreetmap.org/way/1082193060
William Beye Elementary School,Bobcats,https://www.op97.org/beye,https://www.openstreetmap.org/way/1158584841
Brinnon Elementary School,Bobcats,https://www.bsd46.org/,https://www.openstreetmap.org/way/1240323396
Estherwood Elementary School,Bobcats,https://www.acadia.k12.la.us/o/ewes,https://www.openstreetmap.org/way/1387949368
Oak Heights Elementary School,Bobcats,https://ohe.edmonds.wednet.edu/,https://www.openstreetmap.org/way/1424489151
Belle View Elementary School,Bobcats,https://belleviewes.fcps.edu,https://www.openstreetmap.org/relation/1984124
Bellaire Elementary School,Bombers,https://bellaire.bossierschools.org/,https://www.openstreetmap.org/way/1099953576
Shenandoah Elementary School,Braves,https://shenandoahes.net/,https://www.openstreetmap.org/way/522225994
Holly Pond Elementary School,Broncos,https://hpe.ccboe.org/,https://www.openstreetmap.org/node/7807483120
